"Redirection","Redirection"
"Merchant Page","Merchant Page"
"Merchant Page 2.0","Merchant Page 2.0"
"AUTHORIZATION","AUTHORIZATION"
"PURCHASE","PURCHASE"
"SHA-1","SHA-1"
"SHA-256","SHA-256"
"SHA-512","SHA-512"
"Invalid response signature.","Invalid response signature."
"Redirecting, please wait...","Redirecting, please wait..."
"Your payment is accepted.","Your payment is accepted."
"Error: cannot create an invoice without products !","Error: cannot create an invoice without products !"
"Your payment is authorized.","Your payment is authorized."
"Unknown response status.","Unknown response status."
"Response Unknown","Response Unknown"
"Payfort has declined the payment.","Payfort has declined the payment."
"FORT Payment Method","FORT Payment Method"
"Enabled","Enabled"
"Crdit Card Title","Crdit Card Title"
"Sadad Title","Sadad Title"
"Naps Title","Naps Title"
"Language","Language"
"Merchant Identifier","Merchant Identifier"
"Access Code","Access Code"
"Hash algorithm","Hash algorithm"
"Command","Command"
"Request SHA phrase","Request SHA phrase"
"Response SHA phrase","Response SHA phrase"
"Enable Credit \ Debit Card","Enable Credit \ Debit Card"
"Integration Type","Integration Type"
"Enable SADAD","Enable SADAD"
"Enable NAPS","Enable NAPS"
"Sandbox mode","Sandbox mode"
"More info","More info"
"Host to Host URL","Host to Host URL"
"You have canceled the payment, please try again.", "You have canceled the payment, please try again."
"Payfort has accepted the payment.","Payfort has accepted the payment."
"Invalid response parameters.","Invalid response parameters."
"Gateway Currency","Gateway Currency"
"Base Currency","Base Currency"
"Front Currency","Front Currency"
"An error occurred while making the transaction. Please try again. (Error message: %s)","An error occurred while making the transaction. Please try again. (Error message: %s)"
"An error occurred while making the transaction. Please try again.","An error occurred while making the transaction. Please try again."
"error_invalid_signature","Invalid response signature."
"error_transaction_error_1","An error occurred while making the transaction. Please try again"
"error_transaction_error_2","An error occurred while making the transaction. Please try again. (Error message: %s)"
"error_response_unknown","Response Unknown"
"text_card_number","Card Number"
"text_card_holder_name","Card Holder Name"
"text_expiry_date","Expiry Date"
"text_cvc_code","CVC Code"
"help_cvc_code","You can find the code on the back of the card."
"error_invalid_card_number","Invalid card number."
"error_invalid_card_holder_name","Invalid card holder name."
"error_invalid_expiry_date","Invalid card expiry date."
"error_invalid_cvc_code","Invalid CVC Code."
"error_invalid_cc_details","Invalid credit card details, Please check you credit card details and try again."
"text_payment_canceled","You have canceled the payment, please try again."
